iter	Passed	Remaining
0	169	16753
1	176	8653
2	183	5941
3	190	4571
4	198	3772
5	206	3238
6	214	2851
7	222	2553
8	230	2326
9	237	2136
10	244	1982
11	252	1852
12	260	1744
13	268	1649
14	276	1568
15	285	1500
16	294	1438
17	301	1371
18	308	1315
19	314	1259
20	321	1210
21	329	1167
22	336	1127
23	344	1090
24	350	1051
25	357	1018
26	363	983
27	371	954
28	377	923
29	384	896
30	391	871
31	397	844
32	404	822
33	411	799
34	419	778
35	425	756
36	432	736
37	439	716
38	445	696
39	452	679
40	458	660
41	466	643
42	472	626
43	480	611
44	486	594
45	495	581
46	502	567
47	509	552
48	516	537
49	522	522
50	530	509
51	536	495
52	543	482
53	550	468
54	557	455
55	563	443
56	570	430
57	576	417
58	583	405
59	590	393
60	596	381
61	603	370
62	611	358
63	617	347
64	625	336
65	632	325
66	639	315
67	646	304
68	654	294
69	661	283
70	668	273
71	675	262
72	682	252
73	689	242
74	696	232
75	703	222
76	709	212
77	717	202
78	724	192
79	731	182
80	738	173
81	746	163
82	752	154
83	759	144
84	766	135
85	772	125
86	780	116
87	786	107
88	794	98
89	800	88
90	808	79
91	815	70
92	822	61
93	829	52
94	836	44
95	843	35
96	850	26
97	857	17
98	864	8
99	872	0
